"","de","a","ligero","profundo","despierto","despertar","tiempo_de_dormir","tiempo_de_despertar","roncar"
"159",2019-08-05 21:44:00,2019-08-06 05:06:00,12000,12480,2040,2,60,240,0
"160",2019-08-09 23:46:00,2019-08-10 05:54:00,10140,11040,900,1,360,0,0
"161",2019-08-10 22:14:00,2019-08-11 05:52:00,9840,15420,2220,2,360,0,0
"162",2019-08-11 22:02:00,2019-08-12 08:35:00,18180,15120,1020,3,360,120,0
"163",2019-08-12 23:40:00,2019-08-13 07:22:00,15420,11340,960,1,180,0,0
"164",2019-08-13 21:35:00,2019-08-14 07:05:00,17640,15360,1200,2,300,240,0
"165",2019-08-15 22:53:00,2019-08-16 06:55:00,11880,15720,1320,2,0,240,0
"166",2019-08-17 20:49:00,2019-08-18 06:56:00,19080,15720,1620,3,360,240,0
"167",2019-08-19 21:35:00,2019-08-20 05:06:00,15540,10560,960,1,0,0,0
"168",2019-08-20 22:40:00,2019-08-21 06:14:00,12420,13080,1740,3,300,300,0
"169",2019-08-21 23:26:00,2019-08-22 04:54:00,9900,9660,120,0,0,120,0
"170",2019-08-22 21:27:00,2019-08-23 06:24:00,15240,12780,4200,5,0,0,0
"171",2019-08-23 22:54:00,2019-08-24 05:33:00,9780,12300,1860,2,360,0,0
"172",2019-08-24 22:28:00,2019-08-25 06:26:00,14340,12900,1440,2,360,0,0
"173",2019-08-25 21:44:00,2019-08-26 05:24:00,11340,14940,1320,1,0,780,0
"174",2019-08-26 20:54:00,2019-08-27 05:38:00,17220,11460,2760,3,0,180,0
"175",2019-08-29 21:41:00,2019-08-30 05:15:00,17399,7740,2101,3,360,300,0
"176",2019-08-30 22:23:00,2019-08-31 05:37:00,13380,10920,1740,3,360,0,0
"177",2019-08-31 22:04:00,2019-09-01 06:31:00,10439,15961,4020,3,1320,1020,0
"178",2019-09-01 22:08:00,2019-09-02 04:43:00,12660,10020,1020,1,0,540,0
"179",2019-09-02 21:50:00,2019-09-03 05:07:00,12000,13560,660,0,0,660,0
"180",2019-09-03 19:22:00,2019-09-04 05:04:00,14520,12000,1320,2,0,360,0
"181",2019-09-04 23:27:00,2019-09-05 06:40:00,9840,15180,960,1,0,180,0
"182",2019-09-05 23:03:00,2019-09-06 07:20:00,14040,12180,3600,4,420,0,0
"183",2019-09-14 21:44:00,2019-09-15 06:47:00,15660,15900,1020,2,180,0,0
"184",2019-09-16 00:16:00,2019-09-16 05:52:00,10440,8040,1680,2,360,60,0
"185",2019-09-16 20:42:00,2019-09-17 05:59:00,15780,13800,3840,5,0,120,0
"186",2019-09-17 21:50:00,2019-09-18 06:09:00,13980,15540,420,0,360,60,0
"187",2019-09-18 21:40:00,2019-09-19 05:01:00,9901,12479,4080,2,2580,0,0
"188",2019-09-19 22:20:00,2019-09-20 05:43:00,13740,10440,2400,2,0,1140,0
"189",2019-09-20 20:11:00,2019-09-21 07:12:00,19260,16500,3900,4,360,300,0
"190",2019-09-21 23:05:00,2019-09-22 05:31:00,12300,9420,1440,3,360,0,0
"191",2019-09-23 20:49:00,2019-09-24 05:49:00,14640,15600,2160,3,660,0,0
"192",2019-09-24 22:13:00,2019-09-25 04:58:00,9120,10740,4440,6,360,0,0
"193",2019-09-25 21:14:00,2019-09-26 05:14:00,14640,12000,2160,0,1740,420,0
"194",2019-09-26 21:52:00,2019-09-27 04:38:00,13500,9360,1500,2,300,480,0
"195",2019-09-27 22:21:00,2019-09-28 06:05:00,14460,12060,1320,1,600,180,0
"196",2019-09-28 23:14:00,2019-09-29 06:29:00,17160,8220,720,1,120,0,0
